
The following [3] records are dropped because genre of GIM is not found in database
GIM Details - ID:DPo2, Genre:.
GIM Details - ID:DPo4, Genre:.
GIM Details - ID:SS4, Genre:.

The following [9828] records are dropped because same record exists in database
GIM Details - ID:SaF19, Genre:21.
GIM Details - ID:MMo10, Genre:6.
GIM Details - ID:JiA7, Genre:6.
GIM Details - ID:H76, Genre:21.
GIM Details - ID:WlD7, Genre:127.
GIM Details - ID:RbR10, Genre:6.
GIM Details - ID:VME15, Genre:6.
GIM Details - ID:DCn12, Genre:13.
GIM Details - ID:WW30, Genre:9.
GIM Details - ID:RM13, Genre:127.
GIM Details - ID:ADx4, Genre:9.
GIM Details - ID:BBa1, Genre:82.
GIM Details - ID:MiL22, Genre:6.
GIM Details - ID:THy6, Genre:6.
GIM Details - ID:AEG41, Genre:9.
GIM Details - ID:BE15, Genre:105.
GIM Details - ID:HSu10, Genre:13.
GIM Details - ID:RoP9, Genre:13.
GIM Details - ID:KvR10, Genre:9.
GIM Details - ID:ClW20, Genre:127.
GIM Details - ID:BW12, Genre:6.
GIM Details - ID:MR19, Genre:6.
GIM Details - ID:JCa7, Genre:6.
GIM Details - ID:LUl10, Genre:90.
GIM Details - ID:NiM30, Genre:56.
GIM Details - ID:FOp10, Genre:6.
GIM Details - ID:MPi40, Genre:127.
GIM Details - ID:AVo10, Genre:13.
GIM Details - ID:SiW14, Genre:3.
GIM Details - ID:WoR25, Genre:9.
GIM Details - ID:BiA1, Genre:3.
GIM Details - ID:GaK4, Genre:6.
GIM Details - ID:HaB9, Genre:21.
GIM Details - ID:LOl1, Genre:9.
GIM Details - ID:AEG37, Genre:9.
GIM Details - ID:YYa82, Genre:6.
GIM Details - ID:PnM8, Genre:6.
GIM Details - ID:RLa2, Genre:28.
GIM Details - ID:ChV8, Genre:127.
GIM Details - ID:GNj1, Genre:9.
GIM Details - ID:MN22, Genre:9.
GIM Details - ID:FC25, Genre:127.
GIM Details - ID:IoA10, Genre:9.
GIM Details - ID:HAA10, Genre:127.
GIM Details - ID:Jas44, Genre:9.
GIM Details - ID:LwT50, Genre:39.
GIM Details - ID:MtB10, Genre:8.
GIM Details - ID:SP68, Genre:13.
GIM Details - ID:FHe10, Genre:13.
GIM Details - ID:EL28, Genre:6.
GIM Details - ID:JGE25, Genre:9.
GIM Details - ID:ACj125, Genre:21.
GIM Details - ID:MaA10, Genre:9.
GIM Details - ID:RtY14, Genre:6.
GIM Details - ID:DDa10, Genre:126.
GIM Details - ID:RNo10, Genre:39.
GIM Details - ID:OYa10, Genre:8.
GIM Details - ID:WD2, Genre:126.
GIM Details - ID:WDT19, Genre:127.
GIM Details - ID:IMd10, Genre:9.
GIM Details - ID:DBy2, Genre:9.
GIM Details - ID:ADx10, Genre:9.
GIM Details - ID:VMi10, Genre:131.
GIM Details - ID:MPr11, Genre:15.
GIM Details - ID:Z1566, Genre:9.
GIM Details - ID:ShI50, Genre:9.
GIM Details - ID:LoM10, Genre:9.
GIM Details - ID:JiA15, Genre:39.
GIM Details - ID:StW10, Genre:13.
GIM Details - ID:BdP25, Genre:13.
GIM Details - ID:HK69, Genre:3.
GIM Details - ID:DaB23, Genre:6.
GIM Details - ID:WWn100, Genre:23.
GIM Details - ID:SS33, Genre:8.
GIM Details - ID:CBt3, Genre:9.
GIM Details - ID:REn53, Genre:23.
GIM Details - ID:ByS17, Genre:28.
GIM Details - ID:Z1546, Genre:9.
GIM Details - ID:ACj128, Genre:21.
GIM Details - ID:NIs10, Genre:6.
GIM Details - ID:JCm25, Genre:39.
GIM Details - ID:GDo2, Genre:6.
GIM Details - ID:CCb10, Genre:13.
GIM Details - ID:KrK39, Genre:29.
GIM Details - ID:JLM8, Genre:9.
GIM Details - ID:RM13, Genre:21.
GIM Details - ID:CWr3, Genre:9.
