Inconsistent Movie Records: 
The following [40] records are dropped because of violating constraints in the database
Star Details - ID:WiW30, Title:Buena Vista Social Club, Year:19yy, Director:Wenders.
Star Details - ID:CsS15, Title:Fairy Tale: A True Story, Year:199x, Director:Sturridge.
Star Details - ID:GeP45, Title:, Year:1999, Director:Pollock.
Star Details - ID:, Title:Becky Sharp, Year:1935, Director:Mamoulian.
Star Details - ID:MJu15, Title:All is Routine, Year:19yy, Director:M.Judge.
Star Details - ID:, Title:Nocturne, Year:1946, Director:R.Siodmak.
Star Details - ID:GxR10, Title:, Year:1954, Director:G.Reinhardt.
Star Details - ID:, Title:The Dark Mirror, Year:1946, Director:R.Siodmak.
Star Details - ID:IAv12, Title:Karate Kid, Year:199x, Director:J.G.Avildsen.
Star Details - ID:Z9590, Title:The Shanghai Triad, Year:19yy, Director:UnYear95.
Star Details - ID:JD7, Title:, Year:1947, Director:Dassin.
Star Details - ID:GxR10, Title:, Year:1954, Director:G.Reinhardt.
Star Details - ID:BSi3, Title:, Year:1988, Director:Silberling.
Star Details - ID:, Title:Summer Holiday, Year:1948, Director:Mamoulian.
Star Details - ID:KDo1x, Title:, Year:199x, Director:Dowling.
Star Details - ID:MkJ11, Title:The Matchmaker, Year:1997 , Director:M.Joffe.
Star Details - ID:, Title:Menschen am Sonntag, Year:1929, Director:R.Siodmak.
Star Details - ID:, Title:Son of Dracula, Year:1943, Director:R.Siodmak.
Star Details - ID:, Title:Cobra Woman, Year:1944, Director:R.Siodmak.
Star Details - ID:TdC13, Title:Jerry and Tom, Year:19yy, Director:diCillo.
Star Details - ID:, Title:Silk Stockings, Year:1957, Director:Mamoulian.
Star Details - ID:WlJ10, Title:, Year:1949, Director:W.Jackson.
Star Details - ID:MS36, Title:Gangs of New York, Year:2001 , Director:Scorsese.
Star Details - ID:, Title:Criss Cross, Year:1948, Director:R.Siodmak.
Star Details - ID:, Title:The Spiral Staircase, Year:1945, Director:R.Siodmak.
Star Details - ID:AEy13, Title:Sarabande, Year:19yy, Director:Egoyan.
Star Details - ID:LB9, Title:El grand cavalcodos, Year:19yy, Director:Bunuel.
Star Details - ID:, Title:The Crimson Pirate, Year:1952, Director:R.Siodmak.
Star Details - ID:, Title:Rings on her Fingers, Year:1942, Director:Mamoulian.
