Inconsistent Star Records: 
The following [6796] records are dropped because same [name] [birthYear] exist in the database
Star Details - Name:Brenda Vaccaro, BirthYear:1939.
Star Details - Name:Barry Foster, BirthYear:1931.
Star Details - Name:Robert Francis, BirthYear:1930.
Star Details - Name:Debra Blee, BirthYear:.
Star Details - Name:Robert Frazer, BirthYear:.
Star Details - Name:Betty Amann, BirthYear:.
Star Details - Name:Billy Mauch, BirthYear:1925.
Star Details - Name:Tom Murray, BirthYear:.
Star Details - Name:Liz Renay, BirthYear:.
Star Details - Name:Carl Esmond, BirthYear:1905.
Star Details - Name:Mike Lane, BirthYear:.
Star Details - Name:Arthur Shields, BirthYear:1895.
Star Details - Name:Keye Luke, BirthYear:1904.
Star Details - Name:Blanche Yurka, BirthYear:1887.
Star Details - Name:Winifred Shotter, BirthYear:1904.
Star Details - Name:Hope Lange, BirthYear:1931.
Star Details - Name:Cicely Oates, BirthYear:.
Star Details - Name:Hope Emerson, BirthYear:1897.
Star Details - Name:Will Rogers, BirthYear:1879.
Star Details - Name:Charmian Carr, BirthYear:1944.
Star Details - Name:Andrea McArdle, BirthYear:.
Star Details - Name:Raisa Ryazonova, BirthYear:.
Star Details - Name:Robert Mandan, BirthYear:.
Star Details - Name:Denis Leary, BirthYear:1958.
Star Details - Name:Jack LaRue, BirthYear:1927.
Star Details - Name:Roger Livesey, BirthYear:1906.
Star Details - Name:Frank Oz, BirthYear:1944.
Star Details - Name:Vivian Kubrick, BirthYear:.
Star Details - Name:Beatrice Lillie, BirthYear:1898.
Star Details - Name:Herbert Rudley, BirthYear:1911.
Star Details - Name:Gregg Henry, BirthYear:.
Star Details - Name:Louise Brooks, BirthYear:.
Star Details - Name:Mavis Washington, BirthYear:.
Star Details - Name:Valerie White, BirthYear:1916.
Star Details - Name:Richard Greene, BirthYear:1914.
Star Details - Name:Forrest Stanley, BirthYear:.
Star Details - Name:Beatrice Campbell, BirthYear:1923.
Star Details - Name:Ann Dvorak, BirthYear:1912.
Star Details - Name:Dick Miller, BirthYear:1928.
Star Details - Name:Dub Taylor, BirthYear:.
Star Details - Name:Tisa Sterling, BirthYear:.
Star Details - Name:Robert Shayne, BirthYear:1910.
Star Details - Name:Barbara Payton, BirthYear:1934.
Star Details - Name:Rosemary Lane, BirthYear:1913.
Star Details - Name:Touch Connors, BirthYear:1925.
Star Details - Name:Francis DeWolff, BirthYear:1913.
Star Details - Name:Norman Wisdom, BirthYear:1918.
Star Details - Name:Harry Shearer, BirthYear:.
Star Details - Name:Innokenti Smoktunovsky, BirthYear:1925.
Star Details - Name:Andrea Occhipinti, BirthYear:.
Star Details - Name:Robert Duvall, BirthYear:1931.
Star Details - Name:Paul Hartman, BirthYear:.
