id|title|year|director
ALu1|La Premiere Seance du Salon Indien au Grand Caf\'e|1895|A.Lumiere
ALu2|La Sortie des Usines Lumi\`ere|1895|A.Lumiere
ALu3|Arriv\'ee d'un train en G\^are de la Ciatat|1895|A.Lumiere
ALu4|Le Gouter de B\'eb\'e|1895|A.Lumiere
ALu5|L'Arroseur arross\'e|1895|A.Lumiere
CPa50|Les Mis\'erables|1909|Pathe
JCw51|Ars\`ene Lupin|1932|Conway
HHS26|Fahrten und F\"ahrten|1926|Schomburgk
HHS48|Frauen, Masken, und Dam\"onen|1948|Schomburgk
PW2|R\"ubezahls Hochzeit|1916|Wegener
PW3|Der Rattenf\"anger von Hameln|1918|Wegener
El15|Ein Fideles Gef\"angnis|1918|Lubitsch
EL34|Kohliesel's T\"ochter|1920|Lubitsch
El35|Ich M\"ochte Kein Mann Sein|1920|Lubitsch
SG37|Champes-Elyse\'es|1938|Guitry
SG66|Si Paris m'etait cont\'e|1955|Guitry
JqF2|T\^etes de Femmes, Femmes de T\^ete|1916|Feyder
FLl7|Les Mis\'erables|1918|F.Lloyd
RyB12|Les Mis\'erables|1935|Boleslawski
FL8|Der M\"ude Tod|1921|F.Lang
JuD8|P\'ep\'e le Moko|1937|Duvivier
RiO30|Der Hauptmann von K\"openick|1932|R.Oswald
LD2|Fi\`evre|1921|Delluc
GP7|Die B\"uchse der Pandora|1928|G.W.Pabst
GP21|M\"adchen in Uniform|1939|G.W.Pabst
GP25|Der Proze\ss|1948|G.W.Pabst
GP100|M\"adchen in Uniform|1957|G.W.Pabst
MRa1|Retour \'a la raison|1923|Man~Ray
RC10|A nous la Libert\'e|1931|Clair
RC21|La Beaut\'e du Diable|1949|Clair
JR25|Boudu Sauv\'e Les Eaux|1932|J.Renoir
JR65|La B\^ete Humaine|1938|J.Renoir
JR96|El\'ena et les Hommes|1956|J.Renoir
ArF10|\UN|1925|Fanck
LM32|Les Mis\'erables|1952|Milesstone
MDK10|La Sir\`ene des Tropiques|1927|DeKobra
xDo10|L'Arp\`ete|1928|Donatien
LB2|L'\^age d'Or|1930|Bunuel
LB30|La Voie Lact\'ee|1968|Bunuel
LB35.|Cet obscur objet du d\'esir|1977|Bunuel
JGr5|Da\"inah la M\'etisse|1931|Gremillon
PJ7|Mutter Krausens Fahrt ins Gl\"uck|1929|Jutzi
WeK10|Br\"uder|1929|Hochbaum
JC1|Le Sang d'un Po\'ete|1930|Cocteau
JC6|La Belle et la B\^ete|1946|Cocteau
JC10|Orph\'ee|1949|Cocteau
JC11|Le Testament d'Orph\'ee|1959|Cocteau
JVi10|Z\'ero de Conduite|1932|Vigo
MdO30|Aniki-B/'ob\'o|1942|deOliveira
MdO62|A Ca{\c}ca|1964|deOliveira
MdO70|Benilde ou a Virgem M\~ae|1975|deOliveira
MdO75|Amor de Perdi{\cc\~a}o|1978|deOliveira
MdO105|A Divina Com\'edia|1986|deOliveira
SlD10|K\"uhle Wampe|1932|Dudow
FNK2|So Ein M\"adel Vergisst Man Nicht|1933|Kortner
xFl10|Luise, K\"onigin von Preussen|1931|Frohlich
PCz10|Der Tr\"amende Mund|1932|Czinner
CAL35|Le Bl\'e en herbe|1954|AutantLara
CAL46|La Travers\'ee de Paris|1957|AutantLara
HKo30|D\'esir\'ee|1954|Koster
MC5|Le Jour se L\`eve|1939|Carne
MC11|Th\`eres\'e R\'aquin|1953|Carne
ChJ50|Madame Sans G\^ene|1961|ChristianJaque
xMa10|Andalusische N\"achte|1938|Maisch
xUc10|Das M\"adchen Johanna|1938|Ucicky
TBs8|Chi Lavora \'e Perduta|1943|Brass
VdS4|Sciusci\`a|1946|deSica
xRi10|Madame San G\^ene|1941|Richebe
HGC3|Quai des Orf\`evres|1947|Clouzot
HGC19|la Myst\`ere de Picasso|1956|Clouzot
RCl4|Au del\`a des Grilles|1948|Clement
RtB4|Journal d'un Cur\'e de Campagne|1950|Bresson
RtB5|Un Condamn\'e \`a Mort s'est Echapp\'e|1956|Bresson
RcF10|Les Mis\'erables|1946|Freda
WS1|Die M\"order sind unter uns|1946|W.Staudte
WS5|Die S\"underin|1951|W.Staudte
WS42|Jeder stirbt f\"ur sich Allein|1973|W.Staudte
WS43|Der G\"artner von Toulouse|1982|W.Staudte
JPL10|L'Ecole Buissoni\`ere|1948|LeChanois
GFr10|Le Sang des B\^etes|1949|Franju
GFr15|H\^otel des Invalides|1951|Franju
GFr30|La T\^ete contre les Murs|1958|Franju
GFr60|La Faute de l'Abb\'e Mouret|1970|Franju
JT1|Jour de F\^ete|1949|Tati
RPo10|Caroline Ch\'erie|1950|Pottier
CMk20|La Jete\'ee|1978|Marker
ADx4|Cin\'ema, bonjour|1958|Delvaux
ADx5|La Plan\`ete Fauve|1959|Delvaux
ADx10|Le temps des \'ecoliers|1962|Delvaux
ClS25|C\'esar et Rosalie|1972|Sautet
JuB104|Touch\'e|1959|Bricken
FT9|Baisers Vol\'es|1968|Truffaut
FT10|La Sir\'ene du Missisippi|1969|Truffaut
FT16|L'histoire d'Ad\`ele H.|1975|Truffaut
FT28|La femme d'\`a c\^ot\'e|1981|Truffaut
JLG10|Une Femme Mari\'ee|1964|Godard
JLG50|Pr\'enom Carmen|1984|Raoul Coulard
ClL16|La Bonne Anne\'e|1973|Lelouch
JRo10|Chronique d'un \'Et\'e|1961|Rouch
NKp12|La Fianc\'ee du Pirate|1969|N.Kaplan
AVo10|Die T\"ur mit den Sieben Schl\:ossern|1962|Vohrer
LHz15|S\~ao Bernardo|1973|Hirszman
RWF21|Mother K\"usters Goes to Heaven|1976|Fassbinder
AlG10|La F\'ee aux choix|1896|Guy
CSe2|On s'Est Tromp\'e d'Histoire de l'Amour|1973|Serreau
BTv5|Les Enfants G\^at\'es|1977|Tavernier
AlC10|S\'erie Noir|1979|Corneau
CGi10|P\'etrole, p\'etrole|1981|Gion
FrV10|La Che\`evre|1981|Veber
AKa20|La Vie de Boh\`eme|1993|Kaurismaki
HSB18|Apfelb\"aume|1992|SandersBrahms
KZs18|Leben f\"ur Leben Maximilian Kolbe|1991|Zanussi
HDu10|Bal Poussi\`ere|1988|Duparc
MGw1|\UN|1988|M.Greenwald
MVh10|Das Schrecklische M\"adchen|1990|M.Verhoeven
RGu15|Er\'endira|1991|Guerra
JVD10|Toto le H\'eros|1992|VanDormael
OKa10|Gizli Y\"uz|1991|Kavur
VNf10|Meine Tochter geh\"ort mir|1991|Naefe
AuG10|Alc\'a|1993|Grimaldi
BLu10|Jam\'on, Jam\'on|1993|Luna
MuK10|Caf\'e au Lait|1994|Kassovitz
MTh10|Pourvu que \cca dure|1995|Thibaut
